NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2499,c_rent2999,c_rent3499,c_rent3500,med_rent,med_hhinc,year,state_fips,county_fips,tract_fips,FIPS_11_digit
"Census Tract 5098.01, Santa Clara County, California",2236,828,799,0,0,0,0,0,0,0,0,0,0,0,15,0,15,18,0,0,76,146,225,210,50,15,29,1788.0,131480.0,2018,06,085,509801,06085509801
"Census Tract 5123.07, Santa Clara County, California",2473,515,465,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,25,65,117,146,56,34,2512.0,125809.0,2018,06,085,512307,06085512307
"Census Tract 5032.04, Santa Clara County, California",2211,836,752,0,0,0,0,0,44,25,0,0,0,0,38,11,0,41,42,25,57,48,233,89,79,20,0,1597.0,70027.0,2018,06,085,503204,06085503204
"Census Tract 5032.10, Santa Clara County, California",994,316,294,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,15,0,14,16,78,26,101,12,0,1949.0,80446.0,2018,06,085,503210,06085503210
"Census Tract 5034.01, Santa Clara County, California",941,274,267,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,57,0,31,108,16,8,28,2123.0,76940.0,2018,06,085,503401,06085503401
"Census Tract 5035.07, Santa Clara County, California",370,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,0,8,0,2200.0,126786.0,2018,06,085,503507,06085503507
"Census Tract 5120.19, Santa Clara County, California",1542,596,596,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,84,299,88,45,67,2336.0,118333.0,2018,06,085,512019,06085512019
"Census Tract 5120.20, Santa Clara County, California",2564,1979,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,773,714,278,83,42,2095.0,90417.0,2018,06,085,512020,06085512020
"Census Tract 5120.24, Santa Clara County, California",1733,783,758,0,0,0,0,0,0,0,0,0,0,0,61,0,28,0,24,14,106,79,144,95,113,87,7,1733.0,107746.0,2018,06,085,512024,06085512024
"Census Tract 5124.02, Santa Clara County, California",1492,431,376,0,0,0,0,0,0,0,0,0,0,0,4,21,9,0,39,41,26,89,56,17,23,39,12,1385.0,113426.0,2018,06,085,512402,06085512402
"Census Tract 104, Shasta County, California",1610,773,756,0,0,0,0,0,0,0,9,0,0,25,57,7,18,10,79,100,275,66,110,0,0,0,0,1066.0,41596.0,2018,06,089,010400,06089010400
"Census Tract 111, Shasta County, California",1210,264,202,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,139,43,0,0,0,0,1396.0,66667.0,2018,06,089,011100,06089011100
"Census Tract 122, Shasta County, California",2156,614,601,0,0,0,0,0,0,0,0,0,0,0,17,14,48,164,89,124,53,84,8,0,0,0,0,865.0,39274.0,2018,06,089,012200,06089012200
"Census Tract 126.01, Shasta County, California",1990,348,296,0,0,0,8,0,4,3,4,5,4,9,3,73,17,25,22,45,30,27,14,3,0,0,0,786.0,53989.0,2018,06,089,012601,06089012601
"Census Tract 127.02, Shasta County, California",1107,189,189,9,0,0,12,9,9,0,7,23,0,0,35,28,0,0,49,0,8,0,0,0,0,0,0,636.0,48459.0,2018,06,089,012702,06089012702
"Census Tract 105, Shasta County, California",2145,1410,1362,0,0,0,0,0,24,17,14,15,9,30,181,95,39,43,81,219,167,255,173,0,0,0,0,961.0,39782.0,2018,06,089,010500,06089010500
"Census Tract 116, Shasta County, California",1455,445,437,0,0,0,0,0,0,9,0,0,0,0,19,21,36,0,45,39,118,100,29,21,0,0,0,1105.0,45288.0,2018,06,089,011600,06089011600
"Census Tract 119, Shasta County, California",1683,210,192,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,59,4,43,45,28,0,0,1733.0,75179.0,2018,06,089,011900,06089011900
"Census Tract 123.01, Shasta County, California",1122,359,349,0,0,0,0,23,8,0,37,0,14,0,25,36,28,9,12,36,121,0,0,0,0,0,0,769.0,35000.0,2018,06,089,012301,06089012301
"Census Tract 123.02, Shasta County, California",2063,328,260,0,0,0,0,0,0,0,50,0,0,18,0,0,0,0,0,58,111,11,12,0,0,0,0,1009.0,62333.0,2018,06,089,012302,06089012302
"Census Tract 109, Shasta County, California",1706,1014,997,0,0,0,0,0,13,10,41,9,10,32,8,99,49,146,215,56,130,33,48,37,32,29,0,838.0,41111.0,2018,06,089,010900,06089010900
"Census Tract 123.03, Shasta County, California",1513,207,207,0,0,0,0,0,0,0,0,0,25,0,0,29,0,0,8,34,6,105,0,0,0,0,0,1254.0,61063.0,2018,06,089,012303,06089012303
"Census Tract 124, Shasta County, California",1545,243,224,0,0,0,4,0,4,0,32,17,2,2,19,24,14,7,8,2,30,22,32,5,0,0,0,729.0,55444.0,2018,06,089,012400,06089012400
"Census Tract 113, Shasta County, California",1863,836,827,0,0,0,0,0,0,0,7,0,5,0,6,25,24,29,124,74,219,240,62,12,0,0,0,1136.0,48497.0,2018,06,089,011300,06089011300
"Census Tract 125, Shasta County, California",717,184,149,0,0,0,0,0,0,0,5,18,7,5,8,0,9,0,12,23,17,32,6,1,0,6,0,946.0,45078.0,2018,06,089,012500,06089012500
"Census Tract 120, Shasta County, California",1776,941,919,13,0,7,51,110,38,0,8,9,43,15,43,39,41,28,70,149,221,10,24,0,0,0,0,821.0,34743.0,2018,06,089,012000,06089012000
"Census Tract 127.01, Shasta County, California",1809,693,601,0,0,23,0,0,0,8,25,27,0,93,19,56,0,66,86,38,102,58,0,0,0,0,0,788.0,45486.0,2018,06,089,012701,06089012701
"Census Tract 107.02, Shasta County, California",1573,527,518,0,23,9,13,6,35,0,46,44,0,0,12,25,27,32,0,21,41,67,62,0,11,0,44,780.0,66174.0,2018,06,089,010702,06089010702
